"INTEGRATIONNAME"~|~"ARCHIVENAME"~|~"PROGRAMNAME"~|~"ARTIFACTTYPE"~|~"ATTRIBUTENAME"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"UNIX"~|~"App_Folder1"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"AutoEncodeTranslation/ConnectionRetries"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"AutoEncodeTranslation/Errors/ErrorCodes/Functional/dbLookupEmpty"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"AutoEncodeTranslation/Errors/ErrorCodes/Functional/default"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"AutoEncodeTranslation/Errors/ErrorCodes/Functional/validateRelsysServiceReq"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"AutoEncodeTranslation/Errors/ErrorCodes/System/dbError"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"AutoEncodeTranslation/Errors/ErrorCodes/System/default"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"AutoEncodeTranslation/Errors/ErrorCodes/System/webServiceError"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"AutoEncodeTranslation/Errors/ErrorMsgs/Functional/dbLookupEmpty"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"AutoEncodeTranslation/Errors/ErrorMsgs/Functional/default"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"AutoEncodeTranslation/Errors/ErrorMsgs/Functional/validateRelsysServiceReq"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"AutoEncodeTranslation/Errors/ErrorMsgs/System/db"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"AutoEncodeTranslation/Errors/ErrorMsgs/System/default"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"AutoEncodeTranslation/Errors/ErrorMsgs/System/webservice"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"AutoEncodeTranslation/Errors/ErrorTypes/EncodeMedDRATerm"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"AutoEncodeTranslation/Errors/ErrorTypes/RelsysServiceRequest"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"AutoEncodeTranslation/Errors/ErrorTypes/encodeProductName"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"AutoEncodeTranslation/IncludeDerivations"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"AutoEncodeTranslation/IntegrationName"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"AutoEncodeTranslation/MedDRA/DictName"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"AutoEncodeTranslation/MedDRA/Primary"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"AutoEncodeTranslation/ProductName/DictName"
